Class                           Interface   PyPlasma    PlasmaShop
=====                           =========   ========    ==========
hsAffineParts                   Complete    Complete    No
hsBitVector                     Complete    Complete    ----
hsVector3                       Complete    Complete    Case
hsPlane3                        Complete    Complete    No
hsFloatPoint2                   Complete    ----        Case
hsMatrix33                      Complete    Complete    No
hsMatrix44                      Complete    Complete    Widget
hsQuat                          Complete    Complete    No
plAgeInfo                       Complete    Complete    ----
plFactory                       Complete    Complete    ----
plResManager                    Complete    Complete    ----
plSDLMgr                        Complete    No          ----
plStateDataRecord               Complete    No          VaultShop
plVarDescriptor                 Complete    No          VaultShop
plStateDescriptor               Complete    No          VaultShop
plStateVarNotificationInfo      Basic       No          No
plStateVariable                 Complete    No          VaultShop
plSDStateVariable               Complete    No          VaultShop
plSimpleStateVariable           Complete    No          VaultShop
hsElfStream                     Complete    No          ----
hsRAMStream                     Complete    No          ----
hsStdioStream                   Complete    No          ----
hsStream                        Complete    Complete    ----
hsFileStream                    Complete    Complete    ----
hsTokenStream                   Complete    No          ----
plEncryptedStream               Complete    Complete    ----
pfPrcHelper                     Complete    No          ----
pfPrcTag                        Complete    No          ----
pfPrcParser                     Complete    No          ----
hsColorRGBA                     Complete    Complete    Widget
hsColor32                       Complete    Complete    Widget
plUnifiedTime                   Complete    No          No
plUUID                          Basic+      No          No

plServerGuid                    Complete    No          VaultShop
plVaultBlob                     Complete    No          ----
plVaultNode                     Complete    No          VaultShop
plVaultNodeRef                  Complete    No          VaultShop
plVaultPlayerNode               Complete    No          VaultShop
plVaultAgeNode                  Complete    No          VaultShop
plVaultGameServerNode           Complete    No          No
plVaultAdminNode                Complete    No          No
plVaultServerNode               Complete    No          No
plVaultFolderNode               Complete    No          VaultShop
plVaultPlayerInfoNode           Complete    No          VaultShop
plVaultSystemNode               Complete    No          No
plVaultImageNode                Complete    No          No
plVaultTextNoteNode             Complete    No          VaultShop
plVaultSDLNode                  Complete    No          VaultShop
plVaultAgeLinkNode              Complete    No          VaultShop
plVaultChronicleNode            Complete    No          VaultShop
plVaultPlayerInfoListNode       Complete    No          VaultShop
plVaultMarkerNode               Complete    No          No
plVaultAgeInfoNode              Complete    No          VaultShop
plVaultAgeInfoListNode          Complete    No          VaultShop
plVaultMarkerListNode           Complete    No          No
plVaultStore                    Complete    No          ----

plPageInfo                      Complete    Complete    PrpShop
hsKeyFrame                      Complete    Complete    No
hsPoint3Key                     Complete    Complete    No
hsScalarKey                     Complete    Complete    No
hsScaleKey                      Complete    Complete    No
hsQuatKey                       Complete    Complete    No
hsCompressedQuatKey32           Complete    Complete    No
hsCompressedQuatKey64           Complete    Complete    No
hsG3DSMaxKeyFrame               Complete    Complete    No
hsMatrix33Key                   Complete    Complete    No
hsMatrix44Key                   Complete    Complete    No
pfFlock                         Complete    No          No
plEAXSourceSoftSettings         Basic       No          No
plEAXSourceSettings             Basic       No          No
plWAVHeader                     Complete    Complete    PrpShop
hsGDeviceRef                    Basic       No          No
plLODDist                       Complete    Complete    No
plCullPoly                      Complete    Complete    No
plDISpanIndex                   Complete    Complete    No
plGBufferCell                   Complete    Complete    No
plGBufferTriangle               Complete    Complete    No
plGBufferVertex                 Complete    Complete    No
plGBufferGroup                  Complete    Complete    No
plGeometrySpan                  Basic       No          No
plIcicle                        Complete    Complete    No
plParticleSpan                  Complete    Complete    No
plMorphArray                    Basic       No          No
plMorphDataSet                  Basic       No          No
